seoul	jeju
그렇게 하니까우리 아버	경허난우리 아버
그 아버지가 있으니까무섭지는않잖아 아무리컴컴한 밤이라도	그 아버지가 이시니까머습지는안 허잖아 아멩컴컴한 밤이라도
우리 작은 애기만 하나 있어도의지 되는데	우리 작은 애기만 하나 이서도벗되는디게
이번에아버지 돌아가실 때 그런 생각이 막 나고 우리 아버지 돌아가시기 전에	요번에아버지 돌아가실 때 그런 생각이 막 나고 우리 아버지 돌아가시기 전에
딱 그 말을 하더라	딱 그 말을 허드라게
 너 그때 드럼통속에 담은거생각나니?	 느 그때 도루무깡속에 담아분거생각나사?
그렇게 하면알고 있어요아버지	경허민아람수다아버지
넌 왜그러며서넌 왜그렇게 그렇게 많이	는 무사경허멍는 무사경 경 하영
그렇게잘 따라다녔는지모르겠다	경잘 돌려신지모르켜
잘 따라다녀	잘 돌루완
우리 언니네도 하여튼 어디 가려고하면나 모르게 가려고	우리 언니네도 하여튼 어디 가잰허믄나 모르게 가젠
온 식구를 다 따라다녀?	온 식구를 다 돌아?
엄마 아빠만따라다닌거 아니야	어멍아방만돌른거 아니
언니네 어디 누구만나러 가는 거 보 보면	언니네 어디 누게만나러 가는 거 보 보므는
움직이면그저	오싹해가민기자
문 잠궈서	문 줭강
움직이기만하면그저	오싹만해가믄기자
응 문 잠궈버리면 담도 그렇게잘 넘었어담 후다닥넘어가고	응 문 줭가불면예 담도 경잘 넘었져담 화다탁넘어가고게
그렇게 했었어그런데그게	경 해나서게신디그게
정이 많아서래그러니까그런 생각이 좀 나더라	정이 많아서랜게난그런 생각이 좀 나더라
아까 시선이 무섭다고나 나 손을 봐주세요 선생님	아까 시선이 무섭댄나 나 손을 봐주세요 선생님
응 왜?	응 무사?
손 왜? 아무렇지않은데	손 무사? 어떵안해신게
아무렇지않다고?	어떵안해서?
난나 손을 보는 남의 시선이 너무나 무서워	난이나 손을 보는 남의 시선이 너무나 무서워
뭐 왜?손	뭐 무사?손
까실 까실?	까실락 까실락?
까실정도가 아니야자갈밭	까실락정도가 아니자갈밭
근데 마찬가지 아니야	근데 마찬가지 아니
